Размер массива;Выбором, случайные значения от 0 до 5;Выбором, случайные значения от 0 до 4000;Выбором, почти отсортированный;Выбором, в обратном порядке;Пузырьком, случайные значения от 0 до 5;Пузырьком, случайные значения от 0 до 4000;Пузырьком, почти отсортированный;Пузырьком, в обратном порядке;Пузырьком с Айверсоном 1, случайные значения от 0 до 5;Пузырьком с Айверсоном 1, случайные значения от 0 до 4000;Пузырьком с Айверсоном 1, почти отсортированный;Пузырьком с Айверсоном 1, в обратном порядке;Простыми вставками, случайные значения от 0 до 5;Простыми вставками, случайные значения от 0 до 4000;Простыми вставками, почти отсортированный;Простыми вставками, в обратном порядке;Бинарными вставками, случайные значения от 0 до 5;Бинарными вставками, случайные значения от 0 до 4000;Бинарными вставками, почти отсортированный;Бинарными вставками, в обратном порядке;Подсчетом, случайные значения от 0 до 5;Подсчетом, случайные значения от 0 до 4000;Подсчетом, почти отсортированный;Подсчетом, в обратном порядке;Цифровая, случайные значения от 0 до 5;Цифровая, случайные значения от 0 до 4000;Цифровая, почти отсортированный;Цифровая, в обратном порядке;Слиянием, случайные значения от 0 до 5;Слиянием, случайные значения от 0 до 4000;Слиянием, почти отсортированный;Слиянием, в обратном порядке;Быстрой разбиение Хоара, случайные значения от 0 до 5;Быстрой разбиение Хоара, случайные значения от 0 до 4000;Быстрой разбиение Хоара, почти отсортированный;Быстрой разбиение Хоара, в обратном порядке;Быстрой разбиение Ломуто, случайные значения от 0 до 5;Быстрой разбиение Ломуто, случайные значения от 0 до 4000;Быстрой разбиение Ломуто, почти отсортированный;Быстрой разбиение Ломуто, в обратном порядке;Пирамидальной, случайные значения от 0 до 5;Пирамидальной, случайные значения от 0 до 4000;Пирамидальной, почти отсортированный;Пирамидальной, в обратном порядке
50;0.000026;0.000025;0.000021;0.000022;0.000041;0.000040;0.000021;0.000049;0.000042;0.000043;0.000001;0.000050;0.000020;0.000032;0.000001;0.000051;0.000017;0.000025;0.000001;0.000034;0.000006;0.000022;0.000009;0.000006;0.000009;0.000011;0.000005;0.000009;0.000012;0.000012;0.000011;0.000012;0.000006;0.000006;0.000003;0.000004;0.000010;0.000007;0.000041;0.000027;0.000029;0.000015;0.000019;0.000014
60;0.000037;0.000033;0.000031;0.000040;0.000073;0.000064;0.000033;0.000107;0.000054;0.000057;0.000001;0.000072;0.000034;0.000049;0.000002;0.000071;0.000029;0.000030;0.000001;0.000051;0.000006;0.000028;0.000008;0.000009;0.000008;0.000011;0.000008;0.000011;0.000014;0.000016;0.000011;0.000011;0.000010;0.000009;0.000004;0.000006;0.000017;0.000010;0.000063;0.000038;0.000017;0.000018;0.000022;0.000017
70;0.000051;0.000048;0.000042;0.000043;0.000071;0.000078;0.000044;0.000117;0.000069;0.000076;0.000001;0.000098;0.000042;0.000052;0.000002;0.000098;0.000043;0.000046;0.000001;0.000064;0.000007;0.000023;0.000008;0.000007;0.000008;0.000012;0.000007;0.000012;0.000018;0.000017;0.000014;0.000014;0.000010;0.000010;0.000005;0.000006;0.000019;0.000012;0.000081;0.000055;0.000054;0.000024;0.000024;0.000021
80;0.000059;0.000058;0.000062;0.000063;0.000101;0.000103;0.000062;0.000146;0.000099;0.000099;0.000001;0.000130;0.000057;0.000067;0.000002;0.000128;0.000043;0.000049;0.000001;0.000082;0.000008;0.000024;0.000011;0.000008;0.000010;0.000013;0.000010;0.000014;0.000023;0.000025;0.000016;0.000018;0.000011;0.000011;0.000007;0.000007;0.000029;0.000018;0.000131;0.000069;0.000026;0.000030;0.000032;0.000025
90;0.000073;0.000079;0.000068;0.000072;0.000128;0.000130;0.000070;0.000161;0.000121;0.000165;0.000002;0.000209;0.000116;0.000089;0.000001;0.000167;0.000068;0.000066;0.000002;0.000105;0.000009;0.000024;0.000009;0.000009;0.000008;0.000019;0.000009;0.000015;0.000027;0.000024;0.000024;0.000018;0.000012;0.000019;0.000007;0.000011;0.000033;0.000016;0.000144;0.000083;0.000030;0.000032;0.000034;0.000028
100;0.000096;0.000093;0.000087;0.000089;0.000147;0.000158;0.000113;0.000251;0.000141;0.000156;0.000002;0.000202;0.000089;0.000130;0.000003;0.000243;0.000071;0.000073;0.000002;0.000136;0.000009;0.000025;0.000010;0.000010;0.000009;0.000016;0.000010;0.000024;0.000026;0.000028;0.000021;0.000023;0.000014;0.000017;0.000008;0.000009;0.000037;0.000018;0.000202;0.000106;0.000034;0.000036;0.000039;0.000035
110;0.000145;0.000109;0.000116;0.000104;0.000180;0.000186;0.000103;0.000244;0.000180;0.000202;0.000002;0.000256;0.000110;0.000141;0.000002;0.000237;0.000077;0.000092;0.000002;0.000173;0.000009;0.000026;0.000011;0.000013;0.000010;0.000017;0.000011;0.000017;0.000029;0.000032;0.000025;0.000023;0.000015;0.000021;0.000008;0.000009;0.000040;0.000017;0.000192;0.000166;0.000039;0.000041;0.000043;0.000037
120;0.000127;0.000135;0.000121;0.000123;0.000279;0.000223;0.000122;0.000285;0.000214;0.000228;0.000002;0.000293;0.000129;0.000155;0.000003;0.000372;0.000092;0.000104;0.000002;0.000182;0.000013;0.000035;0.000012;0.000013;0.000011;0.000025;0.000012;0.000021;0.000032;0.000036;0.000031;0.000026;0.000017;0.000018;0.000009;0.000012;0.000057;0.000024;0.000228;0.000145;0.000040;0.000045;0.000049;0.000041
130;0.000147;0.000148;0.000143;0.000146;0.000321;0.000264;0.000141;0.000368;0.000258;0.000265;0.000002;0.000342;0.000150;0.000170;0.000003;0.000338;0.000102;0.000120;0.000003;0.000214;0.000011;0.000027;0.000013;0.000013;0.000012;0.000020;0.000012;0.000020;0.000037;0.000036;0.000031;0.000028;0.000020;0.000021;0.000009;0.000011;0.000060;0.000027;0.000267;0.000172;0.000044;0.000050;0.000053;0.000047
140;0.000171;0.000174;0.000167;0.000177;0.000294;0.000298;0.000174;0.000391;0.000284;0.000302;0.000003;0.000396;0.000163;0.000190;0.000003;0.000387;0.000112;0.000131;0.000003;0.000250;0.000014;0.000028;0.000013;0.000014;0.000018;0.000044;0.000013;0.000021;0.000039;0.000040;0.000031;0.000033;0.000021;0.000025;0.000011;0.000014;0.000075;0.000029;0.000309;0.000198;0.000050;0.000058;0.000062;0.000050
150;0.000206;0.000199;0.000196;0.000193;0.000315;0.000339;0.000193;0.000449;0.000312;0.000342;0.000003;0.000455;0.000174;0.000209;0.000003;0.000445;0.000118;0.000146;0.000002;0.000299;0.000012;0.000032;0.000014;0.000019;0.000013;0.000023;0.000015;0.000023;0.000052;0.000044;0.000034;0.000036;0.000022;0.000026;0.000012;0.000016;0.000078;0.000033;0.000481;0.000279;0.000064;0.000070;0.000072;0.000062
160;0.000258;0.000267;0.000256;0.000281;0.000422;0.000439;0.000250;0.000670;0.000420;0.000454;0.000003;0.000615;0.000349;0.000306;0.000004;0.000615;0.000142;0.000180;0.000004;0.000422;0.000030;0.000039;0.000021;0.000019;0.000020;0.000037;0.000022;0.000034;0.000060;0.000063;0.000051;0.000050;0.000033;0.000037;0.000018;0.000019;0.000082;0.000036;0.000457;0.000270;0.000064;0.000069;0.000071;0.000072
170;0.000251;0.000253;0.000246;0.000249;0.000414;0.000441;0.000247;0.000579;0.000402;0.000530;0.000003;0.000598;0.000220;0.000272;0.000003;0.000575;0.000152;0.000186;0.000003;0.000368;0.000014;0.000031;0.000021;0.000047;0.000021;0.000038;0.000025;0.000036;0.000061;0.000072;0.000049;0.000053;0.000031;0.000032;0.000017;0.000019;0.000113;0.000044;0.000642;0.000412;0.000074;0.000086;0.000089;0.000073
180;0.000331;0.000321;0.000296;0.000490;0.000541;0.000502;0.000282;0.000655;0.000498;0.000581;0.000003;0.000704;0.000247;0.000311;0.000004;0.000671;0.000199;0.000237;0.000004;0.000469;0.000020;0.000039;0.000021;0.000023;0.000023;0.000037;0.000023;0.000037;0.000078;0.000066;0.000051;0.000051;0.000035;0.000033;0.000018;0.000020;0.000114;0.000050;0.000637;0.000376;0.000075;0.000084;0.000090;0.000077
190;0.000349;0.000370;0.000342;0.000349;0.000590;0.000572;0.000359;0.000776;0.000523;0.000535;0.000004;0.000735;0.000298;0.000329;0.000003;0.000717;0.000194;0.000288;0.000004;0.000453;0.000015;0.000031;0.000020;0.000017;0.000016;0.000029;0.000018;0.000029;0.000055;0.000057;0.000045;0.000044;0.000032;0.000034;0.000017;0.000018;0.000137;0.000037;0.000570;0.000371;0.000074;0.000080;0.000086;0.000073
200;0.000360;0.000392;0.000417;0.000370;0.000681;0.000783;0.000391;0.000913;0.000570;0.000617;0.000003;0.000826;0.000321;0.000388;0.000004;0.000801;0.000215;0.000260;0.000004;0.000496;0.000016;0.000034;0.000018;0.000020;0.000017;0.000030;0.000021;0.000030;0.000059;0.000063;0.000087;0.000051;0.000032;0.000037;0.000017;0.000024;0.000141;0.000046;0.000629;0.000404;0.000087;0.000098;0.000092;0.000113
210;0.000428;0.000400;0.000397;0.000392;0.000644;0.000684;0.000372;0.001003;0.000647;0.000798;0.000006;0.001453;0.000411;0.000499;0.000005;0.001000;0.000309;0.000315;0.000004;0.000695;0.000019;0.000044;0.000026;0.000024;0.000033;0.000045;0.000028;0.000045;0.000109;0.000084;0.000067;0.000071;0.000043;0.000041;0.000018;0.000026;0.000149;0.000057;0.000823;0.000535;0.000083;0.000095;0.000107;0.000094
220;0.000453;0.000495;0.000532;0.000528;0.000887;0.001141;0.000552;0.001249;0.000890;0.000969;0.000005;0.001218;0.001030;0.000622;0.000005;0.001735;0.000339;0.000411;0.000005;0.000924;0.000023;0.000037;0.000053;0.000027;0.000018;0.000047;0.000030;0.000045;0.000079;0.000085;0.000068;0.000072;0.000046;0.000046;0.000032;0.000027;0.000191;0.000063;0.000938;0.000577;0.000134;0.000112;0.000110;0.000099
230;0.000505;0.000531;0.000455;0.000477;0.000852;0.000949;0.000447;0.001193;0.000895;0.001174;0.000005;0.001263;0.000573;0.000640;0.000005;0.001451;0.000392;0.000410;0.000004;0.000796;0.000018;0.000042;0.000020;0.000020;0.000019;0.000035;0.000027;0.000035;0.000071;0.000080;0.000058;0.000057;0.000038;0.000041;0.000019;0.000021;0.000162;0.000044;0.000881;0.000535;0.000093;0.000105;0.000106;0.000093
240;0.000501;0.000527;0.000491;0.000499;0.000895;0.000966;0.000488;0.001162;0.000948;0.000912;0.000004;0.001185;0.000508;0.000584;0.000004;0.001165;0.000330;0.000390;0.000004;0.000716;0.000025;0.000036;0.000030;0.000021;0.000020;0.000036;0.000022;0.000036;0.000072;0.000078;0.000058;0.000058;0.000039;0.000043;0.000022;0.000022;0.000177;0.000059;0.001028;0.000588;0.000095;0.000109;0.000123;0.000097
250;0.000553;0.000543;0.000549;0.000536;0.000935;0.000976;0.000556;0.001357;0.000923;0.001077;0.000005;0.001271;0.000594;0.000643;0.000004;0.001283;0.000341;0.000420;0.000004;0.000802;0.000019;0.000042;0.000022;0.000022;0.000024;0.000037;0.000024;0.000037;0.000075;0.000081;0.000061;0.000061;0.000041;0.000046;0.000020;0.000023;0.000191;0.000057;0.000977;0.000677;0.000103;0.000121;0.000127;0.000106
260;0.000584;0.000629;0.000591;0.000575;0.001049;0.001048;0.000574;0.001356;0.000982;0.001151;0.000004;0.001414;0.000581;0.000687;0.000004;0.001490;0.000375;0.000447;0.000005;0.000824;0.000020;0.000039;0.000025;0.000023;0.000022;0.000039;0.000045;0.000039;0.000081;0.000091;0.000066;0.000063;0.000045;0.000047;0.000022;0.000024;0.000197;0.000056;0.001062;0.000683;0.000104;0.000120;0.000130;0.000108
270;0.000648;0.000635;0.000614;0.000633;0.001099;0.001162;0.000619;0.001488;0.001065;0.001153;0.000005;0.001500;0.000653;0.000741;0.000005;0.001475;0.000404;0.000483;0.000005;0.000893;0.000021;0.000038;0.000025;0.000025;0.000029;0.000040;0.000045;0.000043;0.000085;0.000087;0.000067;0.000066;0.000046;0.000049;0.000022;0.000025;0.000218;0.000055;0.001143;0.000734;0.000110;0.000128;0.000129;0.000111
280;0.000672;0.000677;0.000666;0.000714;0.001159;0.001225;0.000668;0.001574;0.001308;0.001244;0.000005;0.001594;0.000672;0.000804;0.000005;0.001566;0.000428;0.000520;0.000005;0.000955;0.000034;0.000041;0.000027;0.000025;0.000024;0.000042;0.000044;0.000042;0.000089;0.000096;0.000071;0.000072;0.000047;0.000052;0.000023;0.000027;0.000227;0.000061;0.001328;0.000794;0.000115;0.000130;0.000133;0.000124
290;0.000723;0.000760;0.000764;0.000725;0.001254;0.001326;0.000714;0.001688;0.001218;0.001427;0.000005;0.001728;0.000706;0.000864;0.000005;0.001671;0.000455;0.000628;0.000005;0.001053;0.000022;0.000038;0.000026;0.000026;0.000027;0.000043;0.000046;0.000043;0.000090;0.000097;0.000074;0.000072;0.000048;0.000055;0.000025;0.000028;0.000250;0.000060;0.001308;0.000854;0.000122;0.000136;0.000141;0.000120
300;0.000770;0.000792;0.000765;0.000789;0.001305;0.001423;0.000792;0.001821;0.001364;0.001436;0.000005;0.001824;0.000733;0.000954;0.000005;0.001794;0.000474;0.000602;0.000005;0.001094;0.000028;0.000040;0.000028;0.000029;0.000026;0.000044;0.000048;0.000045;0.000094;0.000102;0.000079;0.000077;0.000051;0.000062;0.000026;0.000030;0.000282;0.000062;0.001415;0.000941;0.000123;0.000142;0.000149;0.000128
